# QuantLib 1.44-dev (commit 0191ca7); generated by quantlib-conformance/tools/export_fixtures
F,K,s,t,r,displacement,call,put,intrinsic
100,160,0.8,1,0.03,0,16.19831249373707,74.42504450664757,0
100,160,0.8,10,0.03,0,54.98668597522901,99.43577921613206,0
0.035,0.03,0.4,10,0.02,0,0.01471172321165158,0.010618069446261666,0.004093653765389913
100,60,0.05,0.02,0.03,0.01,39.976007198560225,-0,39.97600719856022
100,60,0.05,1,0.03,0.01,38.81782134194033,3.0618075542426628e-25,38.81782134194032
100,60,0.05,10,0.03,0.01,29.634226261066974,0.0014974337982467559,29.632728827268714
100,60,0.25,0.02,0.03,0.01,39.976007198560225,2.4770039975933903e-48,39.97600719856022
100,60,0.25,1,0.03,0.01,38.95904132301504,0.14121998107471928,38.81782134194032
100,60,0.25,10,0.03,0.01,36.430756101626514,6.798027274357796,29.632728827268714
100,60,0.8,0.02,0.03,0.01,39.97601285357917,5.655018943414526e-06,39.97600719856022
100,60,0.8,1,0.03,0.01,47.935637501451545,9.117816159511214,38.81782134194032
100,60,0.8,10,0.03,0.01,62.416282010399385,32.783553183130664,29.632728827268714
100,80,0.05,0.02,0.03,0.01,19.98800359928011,1.5933914295400194e-220,19.98800359928011
100,80,0.05,1,0.03,0.01,19.408914290053676,3.6190835229244746e-06,19.40891067097016
100,80,0.05,10,0.03,0.01,15.190422908141095,0.37405849450674,14.816364413634357
100,80,0.25,0.02,0.03,0.01,19.988003599346534,6.641154318101326e-11,19.98800359928011
100,80,0.25,1,0.03,0.01,21.60819204125474,2.1992813702845844,19.40891067097016
100,80,0.25,10,0.03,0.01,28.669294929123048,13.85293051548869,14.816364413634357
100,80,0.8,0.02,0.03,0.01,20.08040015930163,0.09239656002153689,19.98800359928011
100,80,0.8,1,0.03,0.01,37.845882760113184,18.436972089143026,19.40891067097016
100,80,0.8,10,0.03,0.01,60.47631152155398,45.65994710791962,14.816364413634357
100,95,0.05,0.02,0.03,0.01,4.997000899820056,1.865220069192396e-14,4.997000899820027
100,95,0.05,1,0.03,0.01,5.2272677763412805,0.3750401085987379,4.85222766774254
100,95,0.05,10,0.03,0.01,6.640736270578615,2.9366451671700307,3.7040911034085893
100,95,0.25,0.02,0.03,0.01,5.109843384617935,0.11284248479789542,4.997000899820027
100,95,0.25,1,0.03,0.01,12.035704089652105,7.183476421909551,4.85222766774254
100,95,0.25,10,0.03,0.01,24.09970103065735,20.395609927248756,3.7040911034085893
100,95,0.8,0.02,0.03,0.01,7.338186040627348,2.341185140807314,4.997000899820027
100,95,0.8,1,0.03,0.01,31.89791306495055,27.04568539720801,4.85222766774254
100,95,0.8,10,0.03,0.01,59.222091962703225,55.518000859294624,3.7040911034085893
100,100,0.05,0.02,0.03,0.01,0.28195319082168274,0.28195319082168274,0
100,100,0.05,1,0.03,0.01,1.935750703874816,1.935750703874816,0
100,100,0.05,10,0.03,0.01,4.668560070255645,4.668560070255645,0
100,100,0.25,0.02,0.03,0.01,1.409695469100047,1.409695469100047,0
100,100,0.25,1,0.03,0.01,9.654612991365582,9.654612991365582,0
100,100,0.25,10,0.03,0.01,22.772600434533064,22.772600434533064,0
100,100,0.8,0.02,0.03,0.01,4.508855600457301,4.508855600457301,0
100,100,0.8,1,0.03,0.01,30.16868355911313,30.16868355911313,0
100,100,0.8,10,0.03,0.01,58.83401986115818,58.83401986115818,0
100,105,0.05,0.02,0.03,0.01,2.63809163165888e-13,4.997000899820283,0
100,105,0.05,1,0.03,0.01,0.43372636097214023,5.2859540287146745,0
100,105,0.05,10,0.03,0.01,3.1586805535393374,6.862771656947932,0
100,105,0.25,0.02,0.03,0.01,0.1387614716772107,5.135762371497233,0
